State / Territory,Latest available registration,Online,Mail,In-person
Alabama,1 to 19 days before,15 days before,Postmarked 15 days before,15 days before Election Day
Alaska,30 or more days before,30 days before,Postmarked 30 days before,30 days before Election Day
Arizona,20 to 29 days before,29 days before,Postmarked 29 days before,29 days before Election Day
Arkansas,30 or more days before,Not available,Postmarked 30 days before,30 days before Election Day
California,Same-day registration allowed,15 days before,Postmarked 15 days before,Up to and including Election Day
Colorado,Same-day registration allowed,8 days before,Postmarked 8 days before,Up to and including Election Day
Connecticut,Same-day registration allowed,7 days before,Postmarked 7 days before,Up to and including Election Day
Delaware,20 to 29 days before,24 days before,Postmarked 24 days before,24 days before Election Day
District of Columbia,Same-day registration allowed,21 days before,Must be received 21 days before,Up to and including Election Day
Florida,20 to 29 days before,29 days before,Postmarked 29 days before,29 days before Election Day
Georgia,20 to 29 days before,29 days before,Postmarked 29 days before,29 days before Election Day
Hawaii,Same-day registration allowed,Up to and including Election Day,Postmarked 8 days before,Up to and including Election Day
Idaho,Same-day registration allowed,25 days before,Postmarked 25 days before,Up to and including Election Day
Illinois,Same-day registration allowed,16 days before,Postmarked 28 days before,Up to and including Election Day
Indiana,20 to 29 days before,29 days before,Postmarked 29 days before,29 days before Election Day
Iowa,Same-day registration allowed,15 days before,Postmarked 15 days before,Up to and including Election Day
Kansas,20 to 29 days before,21 days before,Must be Postmarked 21 days before,21 days before Election Day
Kentucky,20 to 29 days before,29 days before,Postmarked 29 days before,29 days before Election Day
Louisiana,20 to 29 days before,20 days before,Postmarked 30 days before,30 days before Election Day
Maine,Same-day registration allowed,21 days before,Postmarked 21 days before,Up to and including Election Day
Maryland,Same-day registration allowed,21 days before,Postmarked 21 days before,Up to and including Election Day
Massachusetts,1 to 19 days before,10 days before,Postmarked 10 days before,10 days before Election Day
Michigan,Same-day registration allowed,15 days before,Postmarked 15 days before,Up to and including Election Day
Minnesota,Same-day registration allowed,21 days before,Must be received 21 days before,Up to and including Election Day
Mississippi,30 or more days before,Not available,Postmarked 30 days before,30 days before Election Day
Missouri,20 to 29 days before,27 days before,Postmarked 27 days before,27 days before Election Day
Montana,Same-day registration allowed,Not available,Postmarked 30 days before,Up to and including Election Day
Nebraska,1 to 19 days before,18 days before,Postmarked 18 days before,11 days before Election Day
Nevada,Same-day registration allowed,5 days before,Postmarked 28 days before,Up to and including Election Day
New Hampshire,Same-day registration allowed,Not available,Must be received 13 days before Election Day,Up to and including Election Day
New Jersey,20 to 29 days before,21 days before,Must be received 21 days before,21 days before Election Day
New Mexico,20 to 29 days before,28 days before,Postmarked 28 days before,28 days before Election Day
New York,1 to 19 days before,10 days before,Postmarked 15 days before and received 10 days before Election Day,10 days before Election Day
North Carolina,1 to 19 days before,25 days before,Postmarked 25 days before,Same day available during early voting. Early in-person voting period is third Thursday before election through 3PM on Saturday before election
North Dakota,No voter registration needed,No voter registration needed,No voter registration needed,No voter registration needed
Ohio,30 or more days before,30 days before,Postmarked 30 days before,30 days before Election Day
Oklahoma,20 to 29 days before,Not available,Postmarked 25 days before,25 days before Election Day
Oregon,20 to 29 days before,21 days before,Postmarked 21 days before,21 days before Election Day
Pennsylvania,1 to 19 days before,15 days before,Postmarked 15 days before,15 days before Election Day
Rhode Island,30 or more days before,30 days before,Postmarked 30 days before,30 days before Election Day
South Carolina,30 or more days before,30 days before,Postmarked 30 days before,30 days before Election Day
South Dakota,1 to 19 days before,Not available,Must be received 15 days before,15 days before Election Day
Tennessee,30 or more days before,30 days before,Postmarked 30 days before,30 days before Election Day
Texas,30 or more days before,Not available,Postmarked 30 days before,30 days before Election Day
Utah,Same-day registration allowed,11 days before,Must be received 11 days before,Up to and including Election Day
Vermont,Same-day registration allowed,Up to and including Election Day,Must be received by or on Election Day,Up to and including Election Day
Virginia,20 to 29 days before,22 days before,Postmarked 22 days before,22 days before Election Day
Washington,Same-day registration allowed,8 days before,Received 8 days before,Up to and including Election Day
West Virginia,20 to 29 days before,21 days before,Postmarked 21 days before,21 days before Election Day
Wisconsin,Same-day registration allowed,20 days before,Postmarked 20 days before,Up to and including Election Day
Wyoming,Same-day registration allowed,Not available,Must be received 14 days before,Up to and including Election Day
American Samoa,20 to 29 days before,Not available,Must be recieved 29 days before,29 days before Election Day
Guam,1 to 19 days before,11 business days before,Must be recieved 11 business days before,11 business days before Election Day
Northern Mariana Islands,30 or more days before,Not available,Not available,60 days before Election Day
Puerto Rico,30 or more days before,50 days before,Not available,50 days before Election Day
U.S. Virgin Islands,30 or more days before,Not available,Not available,30 days before Election Day
